name,source,servings,ingredients_resolved,coverage_pct,listed_kcal,computed_kcal_per_serving,kcal_diff_pct,listed_P,computed_P,p_diff_pct,listed_C,computed_C,c_diff_pct,listed_F,computed_F,f_diff_pct,status,worst_variance,unresolved
Rajma Chawal,indian-meals.ts,1,13/13,100%,460.0,769.5,67.3,18.0,27.4,52.0,72.0,140.4,95.0,10.0,12.3,23.5,VARIANCE,95.0,
Chole + Multigrain Roti,indian-meals.ts,2,13/14,93%,440.0,364.7,-17.1,18.0,14.6,-18.6,60.0,56.5,-5.8,14.0,10.6,-24.2,VARIANCE,24.2,Tea bag (for dark color) (1.0 bag → can't convert to grams)
Chicken Curry + Brown Rice,indian-meals.ts,1,14/14,100%,520.0,1034.0,98.8,38.0,93.2,145.3,52.0,111.5,114.5,16.0,23.2,44.8,VARIANCE,145.3,
Fish Curry + Steamed Rice,indian-meals.ts,1,12/13,92%,450.0,790.5,75.7,32.0,57.1,78.4,50.0,98.2,96.4,12.0,18.1,50.7,VARIANCE,96.4,Curry leaves (10.0 leaves → can't convert to grams)
Palak Paneer + Roti,indian-meals.ts,2,11/12,92%,440.0,432.7,-1.6,24.0,20.8,-13.4,38.0,33.1,-13.0,20.0,25.5,27.4,VARIANCE,27.4,Cream (optional) (no USDA mapping)
Mixed Sabzi + Dal + Roti,indian-meals.ts,2,13/13,100%,420.0,413.0,-1.7,16.0,19.4,21.2,60.0,66.0,9.9,12.0,9.0,-24.8,VARIANCE,24.8,
Egg Curry + Jeera Rice,indian-meals.ts,1,14/14,100%,480.0,776.4,61.8,22.0,30.9,40.4,54.0,101.7,88.3,18.0,27.3,51.7,VARIANCE,88.3,
Grilled Tandoori Chicken + Salad,indian-meals.ts,2,11/13,85%,350.0,297.4,-15.0,42.0,42.0,-0.0,10.0,15.0,49.7,14.0,7.7,-45.1,VARIANCE,49.7,Tandoori masala (no USDA mapping); Cucumber (sliced) (1.0 medium → can't convert to grams)
Dal Palak + Multigrain Roti,indian-meals.ts,1,11/12,92%,380.0,425.3,11.9,20.0,13.7,-31.6,52.0,58.4,12.4,10.0,16.7,66.7,VARIANCE,66.7,Masoor dal (red lentils) (no USDA mapping)
Paneer Tikka + Green Salad,indian-meals.ts,1,9/13,69%,360.0,853.2,137.0,26.0,47.3,82.0,14.0,57.4,310.1,22.0,53.0,140.8,LOW_COVERAGE,310.1,Bell pepper (cubed) (1.0 medium → can't convert to grams); Tandoori masala (no USDA mapping); Lettuce leaves (4.0 leaves → can't convert to grams)
Moong Dal Khichdi + Papad,indian-meals.ts,1,10/11,91%,340.0,576.9,69.7,14.0,19.3,38.0,54.0,111.9,107.2,8.0,6.4,-19.4,VARIANCE,107.2,Papad (no USDA mapping)
Chicken Tikka + Raita,indian-meals.ts,2,11/12,92%,340.0,300.5,-11.6,40.0,43.9,9.8,8.0,10.4,30.5,16.0,8.4,-47.4,VARIANCE,47.4,Tikka masala (no USDA mapping)
Baingan Bharta + Roti,indian-meals.ts,2,15/16,94%,460.0,407.5,-11.4,24.0,19.3,-19.7,46.0,34.4,-25.1,20.0,22.5,12.4,VARIANCE,25.1,Green peas (no USDA mapping)
Roasted Makhana,indian-meals.ts,1,5/5,100%,120.0,148.8,24.0,4.0,2.9,-26.9,18.0,23.1,28.2,4.0,5.0,25.1,VARIANCE,28.2,
Sprouts Chaat,indian-meals.ts,1,8/9,89%,180.0,290.7,61.5,12.0,17.6,46.3,28.0,56.2,100.6,2.0,1.3,-32.9,VARIANCE,100.6,Cucumber (finely chopped) (0.5 medium → can't convert to grams)
